Year,Country,Winner,Runners-Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance
01/01/1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590549
01/01/1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,363000
01/01/1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,375700
01/01/1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,1045246
01/01/1954,Switzerland,Germany,Hungary,Austria,Uruguay,140,16,26,768607
01/01/1958,Sweden,Brazil,Sweden,France,Germany,126,16,35,819810
01/01/1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,893172
01/01/1966,England,England,Germany,Portugal,Soviet Union,89,16,32,1563135
01/01/1970,Mexico,Brazil,Italy,Germany,Uruguay,95,16,32,1603975
01/01/1974,Germany,Germany,Netherlands,Poland,Brazil,97,16,38,1865753
01/01/1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,1545791
01/01/1982,Spain,Italy,Germany,Poland,France,146,24,52,2109723
01/01/1986,Mexico,Argentina,Germany,France,Belgium,132,24,52,2394031
01/01/1990,Italy,Germany,Argentina,Italy,England,115,24,52,2516215
01/01/1994,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,3587538
01/01/1998,France,France,Brazil,Croatia,Netherlands,171,32,64,2785100
01/01/2002,South Korea,Brazil,Germany,Turkey,Korea Republic,161,32,64,2705197
01/01/2006,Germany,Italy,France,Germany,Portugal,147,32,64,3359439
01/01/2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,3178856
01/01/2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,3386810
01/01/2018,Russia,France,Croatia,Belgium,England,169,32,64,3031768
